IUSA Number,Y2019,Y2020,Y2021
40-075-4826,2,2,2
40-075-5104,1,1,1
40-075-7647,1,1,1
40-081-2747,1,1,1
40-084-5807,1,1,1
40-136-7486,1,0,0
40-136-9942,1,1,1
40-143-0373,1,1,1
40-147-0346,1,1,1
40-159-8436,1,1,1
40-165-6829,1,1,1
40-168-6540,1,1,1
40-169-6952,1,1,1
40-170-9737,1,1,1
40-172-9177,1,1,1
40-183-0061,1,1,1
40-184-7428,1,1,0
40-185-0446,1,1,1
40-186-3591,1,1,1
40-197-5392,1,1,1
40-197-5415,1,1,1
40-198-5628,1,1,1
40-198-8899,1,1,1
40-200-0259,1,1,1
40-201-3946,1,1,1
40-212-5414,1,1,1
40-217-1794,1,1,1
40-217-1959,1,1,1
40-217-2838,1,1,1
40-217-3266,1,1,1
40-217-3756,1,1,1
40-217-3955,1,1,1
40-217-3957,1,1,1
40-217-3969,1,1,1
40-217-3970,0,0,1
40-217-3989,1,1,1
40-217-4000,1,1,1
40-217-4001,1,1,1
40-217-4002,1,1,1
40-217-4006,1,1,1
40-217-4010,1,1,1
40-217-4019,0,1,1
40-217-4061,1,1,1
40-217-4211,1,0,1
40-218-2172,1,1,1
40-218-2189,1,1,1
40-220-0070,1,1,0
40-221-4453,1,1,1
40-222-7543,1,1,1
40-223-9663,1,1,1
40-237-2397,1,1,1
40-254-1041,1,1,1
40-254-1047,1,1,1
40-257-3259,1,1,1
40-258-1761,1,1,1
40-258-2193,1,1,1
40-259-4166,1,1,1
40-277-4091,1,1,1
40-278-5816,0,0,1
40-279-3844,1,1,1
40-281-0763,0,1,1
40-292-7985,1,1,1
40-292-8886,1,0,0
40-292-8996,1,0,0
40-293-9408,1,1,1
40-312-4462,1,1,1
40-313-6981,1,1,0
40-313-7692,1,1,1
40-313-7732,1,0,0
40-313-8591,1,1,1
40-316-4610,1,1,1
40-331-3464,1,1,1
40-334-3877,1,1,1
40-336-4184,1,1,1
40-349-2611,1,1,1
40-350-1031,1,1,1
40-352-1975,1,1,1
40-359-0170,1,1,0
40-363-4332,1,1,1
40-367-3972,1,1,1
40-368-0935,1,1,1
40-376-3062,1,1,1
40-383-7353,1,1,0
40-397-5332,1,1,1
40-417-0290,1,1,1
40-420-8198,2,2,2
40-423-5073,0,1,1
40-423-5234,1,1,1
40-423-5490,1,0,0
40-423-5866,1,1,1
40-423-6343,1,1,1
40-423-6345,0,1,1
40-423-7784,1,1,1
40-423-7796,1,1,1
40-423-7797,1,1,1
40-423-7803,1,1,1
40-423-7814,1,1,0
40-423-7815,0,1,1
40-423-7816,1,1,1
40-423-7821,1,1,1
40-423-7831,1,1,1
40-423-7835,1,1,1
40-423-7837,1,1,1
40-423-7839,1,1,0
40-423-7850,1,1,1
40-423-7854,1,1,1
40-423-7868,1,0,0
40-423-7890,1,1,1
40-423-7891,0,1,1
40-423-7892,1,0,0
40-423-8089,1,1,1
40-423-8092,1,1,1
40-436-8329,1,1,1
40-436-8366,1,1,1
