IUSA Number,Y2019,Y2020,Y2021,Company Name,Address,City,State,ZIP Code,Primary SIC Description
11-845-1756,1,1,1,Mt Royal Inn,151 Mount Royal Blvd,Pittsburgh,PA,15223,Restaurants
11-845-4933,1,1,0,Alexanders Italian Bistro,5104 Liberty Ave,Pittsburgh,PA,15224,Restaurants
11-845-5070,1,1,1,Angelo's Pizzeria,4766 Liberty Ave,Pittsburgh,PA,15224,Restaurants
11-845-6250,1,1,1,G M Dog N' Burger Shoppe,4830 Liberty Ave,Pittsburgh,PA,15224,Restaurants
11-845-6250,1,1,1,G M Dog N'Burger Shoppe,4830 Liberty Ave,Pittsburgh,PA,15224,Restaurants
11-845-7746,1,1,1,Pizza Italia,4512 Liberty Ave,Pittsburgh,PA,15224,Pizza
11-845-7803,1,1,1,Pleasure Bar & Restaurant,4729 Liberty Ave # 5,Pittsburgh,PA,15224,Restaurants
11-845-7977,1,1,1,Ritters Diner Inc,5221 Baum Blvd,Pittsburgh,PA,15224,Restaurants
11-845-8504,1,1,1,Tessaro's,4601 Liberty Ave,Pittsburgh,PA,15224,Restaurants
11-845-8504,1,1,1,Tessaro's American Bar,4601 Liberty Ave,Pittsburgh,PA,15224,Restaurants
11-846-0369,1,1,1,Amel's Restaurant,435 Mcneilly Rd,Pittsburgh,PA,15226,Restaurants
11-846-0575,1,1,1,Boulevard Ice Cream,719 Brookline Blvd,Pittsburgh,PA,15226,Foods-Carry Out
11-846-0575,1,1,1,Scoops On The Blvd,719 Brookline Blvd,Pittsburgh,PA,15226,Foods-Carry Out
11-846-1292,1,1,1,Chuong's Cleaners,946 Brookline Blvd,Pittsburgh,PA,15226,Cleaners
11-846-1292,1,1,1,Cleaners Chuongs,946 Brookline Blvd,Pittsburgh,PA,15226,Restaurants
11-846-1656,1,1,1,Fiori's Pizzaria,103 Capital Ave,Pittsburgh,PA,15226,Pizza
11-846-2035,1,1,1,Moonlite Cafe,530 Brookline Blvd,Pittsburgh,PA,15226,Restaurants
11-846-4098,1,1,1,Wendy's,2410 W Liberty Ave,Pittsburgh,PA,15226,Restaurants
11-846-6069,1,1,1,Burger King,2900 Brownsville Rd,Pittsburgh,PA,15227,Restaurants
