Version Year,IUSA Number,Company Name,Address,City,State,ZIP Code,Primary SIC Description
2020,98-137-6213,Hilton Garden Inn-Pittsburgh,3454 Forbes Ave,Pittsburgh,PA,15213,Hotels & Motels
2020,70-499-9753,Hitch Hiker Brewing,190 Castle Shannon Blvd,Pittsburgh,PA,15228,Restaurants
2020,41-729-7650,Hobbes Services LLC,809 W View Park Dr,Pittsburgh,PA,15229,Restaurant Management
2020,40-165-6829,Hofbrauhaus Pittsburgh,2705 S Water St,Pittsburgh,PA,15203,Restaurants
2020,43-179-1674,Hog's Bar & Grill,1724 Prospect Rd,Pittsburgh,PA,15236,Bars
2020,35-835-1096,Hog's Head Bar & Grill,3433 Spring Garden Rd,Pittsburgh,PA,15212,Restaurants
2020,69-616-9556,Hokkaido Seafood Buffet,4612 Browns Hill Rd,Pittsburgh,PA,15217,Restaurants
2020,21-871-8948,Holiday Inn Express,20 S 10th St,Pittsburgh,PA,15203,Hotels & Motels
2020,70-675-2039,Hollow,5836 Brownsville Rd,Pittsburgh,PA,15236,Restaurants
2020,67-314-3434,Holy Cross Banquet Hall,123 Gilkeson Rd,Pittsburgh,PA,15228,Caterers
2020,60-329-6799,Holy Cross Comms-Newsletter,123 Gilkeson Rd,Mt Lebanon,PA,15228,Social Service & Welfare Organizations
2020,72-255-3069,Homerun Gyro's Grill,807 Glass Run Rd,Pittsburgh,PA,15227,Restaurants
2020,42-200-1790,Homerun Harrys,225 W Station Square Dr,Pittsburgh,PA,15219,Bartending Service
2020,11-835-9249,Hometowne Tavern,1915 Mccague St,Pittsburgh,PA,15218,Bars
2020,42-726-4931,Honey,2796 Robinson Blvd,Pittsburgh,PA,15235,Restaurants
2020,40-075-7647,Honey Baked Ham,1630 Washington Rd # 2,Pittsburgh,PA,15241,Ham Specialty Stores
2020,40-072-2468,Honey Baked Ham,4780 Mcknight Rd # C,Pittsburgh,PA,15237,Ham Specialty Stores
2020,43-159-6042,Honey Bees,710 Wood St,Pittsburgh,PA,15221,Restaurants
2020,72-593-6831,Honeygrow,105 S Highland Ave,Pittsburgh,PA,15206,Restaurants
2020,40-865-0475,Hong Kong Express,529 Court Pl,Pittsburgh,PA,15219,Restaurants
2020,24-496-6529,Hong Kong Taste,366 Butler St,Pittsburgh,PA,15223,Restaurants
2020,25-371-1840,Hook Fish & Chicken,6960 5th Ave,Pittsburgh,PA,15208,Restaurants
2020,72-146-0739,Hook Fish & Chicken,11 Ormsby Ave,Pittsburgh,PA,15210,Restaurants
2020,61-308-8939,Hook Fish & Chicken,1221 Federal St,Pittsburgh,PA,15212,Restaurants
2020,41-401-9961,Hooples Inc,2221 Brownsville Rd,Pittsburgh,PA,15210,Restaurants
2020,63-429-3344,Hop House,2749 Noblestown Rd # 1,Pittsburgh,PA,15205,Restaurants
2020,50-580-4450,Hop House,5510 Babcock Blvd,Pittsburgh,PA,15237,Restaurants
2020,56-492-1161,Hop's Place,3037 Shadeland Ave,Pittsburgh,PA,15212,Bars
2020,69-225-9658,Hot Rod Cafe,205 Boggs Ave,Pittsburgh,PA,15211,Restaurants
2020,66-726-3271,Hough's Restaurant,563 Greenfield Ave,Pittsburgh,PA,15207,Restaurants
2020,63-429-3419,Houlihan's,1500 Washington Rd # 1210,Pittsburgh,PA,15228,Restaurants
2020,68-280-9397,Houlihan's,20406 Route 19 Cranberry Twp,Pittsburgh,PA,16066,Restaurants
2020,83-186-4673,House Of Lee,8145 Ohio River Blvd,Pittsburgh,PA,15202,Restaurants
2020,89-983-7488,How Lee Chinese Restaurant,5888 Forbes Ave,Pittsburgh,PA,15217,Restaurants
2020,70-812-8432,Howl At The Moon-Pittsburgh,125 7th St,Pittsburgh,PA,15222,Restaurants
2020,40-423-7831,Huckle's Restaurant & Bar,4550 Mcknight Rd,Pittsburgh,PA,15237,Restaurants
2020,11-835-4810,Huddle,1648 Broadway Ave,Pittsburgh,PA,15216,Restaurants
2020,73-761-4237,Hug Thai Noodle House,422 Semple St,Pittsburgh,PA,15213,Restaurants
2020,72-488-2694,Hug Thai Restaurant,472 44th St,Pittsburgh,PA,15201,Restaurants
2020,71-856-2955,Huggys Inc,3825 Penn Ave,Pittsburgh,PA,15201,Restaurants
2020,71-154-4902,Hunan Bar,239 Atwood St,Pittsburgh,PA,15213,Bars
2020,48-422-8937,Hunan Wok Chinese Takeout,2158 Brownsville Rd,Pittsburgh,PA,15210,Restaurants
2020,44-663-3950,Hunan's Palace,2360 Ardmore Blvd,Pittsburgh,PA,15221,Restaurants
2020,41-687-2137,Hunner's Pizza & Catering,811 Main St,Pittsburgh,PA,15215,Pizza
2020,71-704-9431,Huntz's Tavern,645 Butler St,Pittsburgh,PA,15223,Bars
2020,40-218-2172,Hyatt Place Pittsburgh North,260 N Shore Dr,Pittsburgh,PA,15212,Hotels & Motels
2020,20-528-1231,Hyatt Regency-Intl Airport,1111 Airport Blvd,Pittsburgh,PA,15231,Hotels & Motels
2020,61-281-5977,Hyde Park Prime Steakhouse,247 N Shore Dr,Pittsburgh,PA,15212,Restaurants
2020,43-020-1651,I Bar,941 Liberty Ave,Pittsburgh,PA,15222,Restaurants
2020,70-122-9463,I O Deli,300 Beverly Rd,Pittsburgh,PA,15216,Restaurants
2020,56-488-3619,Ice Castle Arena,990 Castle Shannon Blvd,Pittsburgh,PA,15234,Skating Rinks
2020,61-915-2176,Ichiban Hibachi & Sushi,1160 Park Manor Blvd,Pittsburgh,PA,15205,Restaurants
2020,74-735-2123,Ihop,9036 St Simon Way,Pittsburgh,PA,15237,Restaurants
2020,66-663-9075,Ihop Restaurant,1002 Sutherland Dr,Pittsburgh,PA,15205,Restaurants
2020,41-754-1046,Ihop Restaurant,9038 St Simon Way,Pittsburgh,PA,15237,Restaurants
2020,73-921-7218,Gino's Petite Dejeuner,55 Alpha Dr,Pittsburgh,PA,15238,Restaurants
2020,70-011-2310,Gino's Pizza,1610 E Carson St,Pittsburgh,PA,15203,Pizza
2020,40-614-5782,Ginza,4734 Liberty Ave,Pittsburgh,PA,15224,Restaurants
2020,48-422-8218,Giorgio's Place,908 Western Ave,Pittsburgh,PA,15233,Restaurants
2020,73-574-5647,Giovanni's Catering,121 6th St,Pittsburgh,PA,15222,Caterers
2020,40-423-7821,Giovanni's Italian Grill,1639 S Braddock Ave,Pittsburgh,PA,15218,Restaurants
2020,39-353-6297,Giovanni's Pizza & Pasta,123 6th St,Pittsburgh,PA,15222,Pizza
2020,30-967-2046,Giovanni's Pizza On 5th Avenue,1504 5th Ave,Pittsburgh,PA,15219,Pizza
